Title,Address 1,Address 2,Suburb,Postcode,Latitude,Longitude,Phone,Fax,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm
Queensland Government Service Centre,William McCormack Place,Ground Floor 5B Sheridan Street,Cairns,4870,-16.926148,145.775376,13 QGOV (13 74 68),(07) 4048 9977,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,
Collinsville Queensland Government Agent Program,,64 Sonoma Street,Collinsville,4804,-20.548952,147.84234,(07) 4785 5567,(07) 4785 5789,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,,,,
Herberton Queensland Government Agent Program,,56 Grace Street,Herberton,4887,-17.383815,145.38684,(07) 4096 2702,(07) 4096 2704,Closed,Closed,Closed,Closed,Closed,Closed,9:00-13:00,14:00-16:00,Closed,Closed,,,,
Malanda Queensland Government Agent Program,,21 James Street,Malanda,4885,-17.35284,145.595679,(07) 4096 5277,(07) 4096 5008,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,,,,
Queensland Government Service Centre,Mike Ahern Centre,"Ground floor, 12 First Avenue",Maroochydore,4558,-26.656606,153.093294,13 QGOV (13 74 68),(07) 5453 1812,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,
Mount Garnet Queensland Government Agent Program,Police Station,Garnet Street,Mount Garnet,4872,-17.682164,145.125756,(07) 4097 9005,(07) 4097 9036,9:30-12:00,12:00-15:30,Closed,Closed,9:30-12:00,12:00-15:30,Closed,Closed,Closed,Closed,,,,
Ravenshoe Queensland Government Agent Program,,27–29 Grigg Street,Ravenshoe,4888,-17.604665,145.481041,(07) 4097 6660,(07) 4097 6830,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,,,,
Thursday Island Housing Service Centre,,37 Douglas Street,Thursday Island,4875,-10.584221,142.220344,(07) 4214 1117; 1300 650 910 (maintenance enquiries),(07) 4069 2154,,,,,,,,,,,,,,
Townsville Housing Service Centre,,2/143 Walker Street,Townsville,4810,-19.258964,146.813892,(07) 4760 7378; 1800 806 197; 1300 650 913 (maintenance enquiries),(07) 4760 7376,,,,,,,,,,,,,,
Mount Isa Housing Service Centre,,19 West Street,Mount Isa,4825,-20.726122,139.489689,(07) 4747 2137; 1800 620 466; 1300 650 912 (maintenance enquiries),(07) 4747 2138,,,,,,,,,,,,,,
Mackay Housing Service Centre,,22-30 Wood Street,Mackay,4740,-21.140405,149.186007,(07) 4967 0888; 1800 069 237; 1300 650 914 (maintenance enquiries),(07) 4967 0906,,,,,,,,,,,,,,
Rockhampton Housing Service Centre,"Lvl 3, State Government Building",209 Bolsover Street,Rockhampton,4700,-23.381493,150.514669,(07) 4938 4085; 1800 801 176; (07) 4938 4085 (maintenance enquiries); 1800 817 029 (maintenance enquiries),(07) 4938 4088,,,,,,,,,,,,,,
Emerald Housing Service Centre,,27A Hospital Road,Emerald,4720,-23.520886,148.156931,(07) 4987 4871; 1800 659 160; (07) 4982 3090 (maintenance enquiries); 1800 817 029 (maintenance enquiries),(07) 4982 1721,,,,,,,,,,,,,,
Gladstone Housing Service Centre,,147 Goodoon Street,Gladstone,4680,-23.84501,151.256771,(07) 4979 6560; 1800 266 807; (07) 4979 4960 (maintenance enquiries),(07) 4979 6574,,,,,,,,,,,,,,
Bundaberg Housing Service Centre,,16 Quay Street,Bundaberg,4670,-24.863789,152.354064,(07) 4131 5990; 1800 809 835; 1800 655 949 (maintenance enquiries),(07) 4131 5989,,,,,,,,,,,,,,
Maryborough Housing Service Centre,,116 Lennox Street,Maryborough,4650,-25.539681,152.354064,(07) 4121 1918; 1800 623 242; 1300 137 687 (maintenance enquiries),(07) 4121 1775,,,,,,,,,,,,,,
Toowoomba Housing Service Centre,Lvl 2 Condamine Centre,10 Russell Street,Toowoomba,4350,-27.559466,151.954853,(07) 4615 3560; 1800 623 435; 1300 650 915 (maintenance enquiries),(07) 4615 3679,,,,,,,,,,,,,,
Ipswich Housing Service Centre,,4 Bell Street,Ipswich,4305,-27.612402,152.760302,(07) 3280 1420; 1800 636 390; (07) 3280 1778 (maintenance enquiries),(07) 3280 1421,,,,,,,,,,,,,,
Fortitude Valley Housing Service Centre,,505 St Pauls Terrace,Fortitude Valley,4006,-27.45386,153.034416,(07) 3872 0320; (07) 3872 0303 (maintenance enquiries),(07) 3872 0366,,,,,,,,,,,,,,
Chermside Housing Service Centre,,"Lvl 3, 18 Banfield Street",Chermside,4032,-27.381299,153.030764,(07) 3896 9900; (07) 3896 9973 (maintenance enquiries),(07) 3896 9904,,,,,,,,,,,,,,
Buranda Housing Service Centre,,"Lvl 1, 221 Logan Road",Buranda,4102,-27.496579,153.040391,(07) 3405 5300; (07) 3405 5322 (maintenance enquiries),(07) 3405 5324,,,,,,,,,,,,,,
Inala Housing Service Centre,,14 Wirraway Street,Inala,4077,-27.601393,152.974654,(07) 3362 9200; (07) 3362 9230 (maintenance enquiries),(07) 3362 9220,,,,,,,,,,,,,,
Capalaba Housing Service Centre,Capalaba Tower Court Building, 36 Old Cleveland Road,Capalaba,4157,-27.5205229,153.190782,(07) 3362 9100; (07) 3362 9109 (maintenance enquiries),(07) 3362 9104,,,,,,,,,,,,,,
Robina Housing Service Centre,,Robina Town Centre,Robina,4226,-28.070145,153.376411,(07) 5583 2200; 1300 650 917 (maintenance enquiries),(07) 5583 2242,,,,,,,,,,,,,,
Woodridge Housing Service Centre,,11-13 Station Road,Woodridge,4114,-27.639187,153.106305,(07) 3884 9800; (07) 3884 9840 (maintenance enquiries),(07) 3884 9830,,,,,,,,,,,,,,
Caboolture Housing Service Centre,"Lvl 5, Caboolture Park Shopping Centre",60-78 King Street,Caboolture,4510,-27.084958,152.948498,(07) 5431 2501; (07) 3480 1580 (maintenance enquiries),(07) 5431 2505,,,,,,,,,,,,,,
Redcliffe Housing Service Centre,Lvl 1 Blue Water Square Shopping Centre, 20 Anzac Avenue,Redcliffe,4020,-27.230427,153.114933,(07) 3480 1550; (07) 3480 1580 (maintenance enquiries),(07) 3480 1577,,,,,,,,,,,,,,
