Title,Description,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,Comments
Cannonvale Queensland Government Agent Program Office,"11 Island Dr Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, QGAP","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, QGAP",,11 Island Drive,Cannonvale,4802,PO Box 215,,Cannonvale,4802,-20.2781,148.700941,(07) 4948 2981,(07) 4948 2899,,9:00,16:30,9:00,16:30,9:30,16:30,9:00,16:30,9:00,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles in fine weather only; Heavy vehicle and trailer inspections will no longer be conducted at Cannonvale; practical driver testing for all licence classes,
Charleville Transport and Main Roads Customer Service Centre,"Hood St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes",,Hood Street,Charleville,4470,PO Box 240,,Charleville,4470,-26.408759,146.244437,(07) 4654 1459,(07) 4654 2387,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne and motorcycles in fine weather only; this centre does not conduct pre-registration inspections for trailers,
Charters Towers Transport and Main Roads Customer Service Centre,"11-15 Church St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",,11-15 Church Street,Charters Towers,4820,PO Box 1471,,Charters Towers,4820,-20.071149,146.262563,13 23 80,(07) 4787 2049,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; practical driver testing for all licence classes; this centre does not conduct pre-registration inspections for trailers,
Chermside Transport and Main Roads Customer Service Centre,"766 Gympie Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes",,766 Gympie Road,Chermside,4032,766 Gympie Road,,Chermside,4032,-27.38737043,153.0308311,13 23 80,(07) 3350 4102,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for vehicles less than 4.5 tonne gross vehicle mass  and motorcycles only (pre-registration inspections are restricted to a maximum height of 2.0 metres); this centre does not conduct pre-registration inspections for trailers,
Cloncurry Transport and Main Roads Customer Service Centre,"16-22 Ramsay St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes",,16-22 Ramsay Street,Cloncurry,4824,PO Box 338,,Cloncurry,4824,-20.70730007,140.5086731,13 23 80,(07) 4769 3288,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles types and conducts practical driver testing for all licence classes,
Dalby Transport and Main Roads Customer Service Centre,"20 Cunningham St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes",,20 Cunningham Street,Dalby,4405,PO Box 767,,Dalby,4405,-27.180054,151.267749,(07) 4660 6500,(07) 4662 5274,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,25/12/2012-26/12/2012; 31/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles in fine weather only; practical driver testing for all licence classes,
Darra Motor Vehicle Inspection Centre,"Argyle Pde Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,Argyle Parade,Darra,4077,PO Box 984,,Sumner Park BC,4074,-27.573046,152.963038,13 23 80,(07) 3375 1285,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by approved inspections stations",
Emerald Transport and Main Roads Customer Service Centre,"83 Esmond St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests",,83 Esmond Street,Emerald,4720,PO Box 1787,,Emerald,4720,-23.520241,148.165404,(07) 4983 8749,(07) 4983 8750,,9:00,16:30,9:00,16:30,10:00,16:30,9:00,16:30,9:00,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Gladstone Transport and Main Roads Customer Service Centre,"2 Paterson St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests",,2 Paterson Street,Gladstone,4680,PO Box 1025,,Gladstone,4680,-23.865715,151.242198,13 23 80,(07) 4836 8150,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles in fine weather only; practical driver testing for all licence classes,
Gladstone Motor Vehicle Inspection Centre,"2 Paterson St Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,2 Paterson Street,Gladstone,4680,PO Box 1025,,Gladstone,4680,-23.865715,151.242198,(07) 4836 8114,(07) 4836 8115,,,,,,,,,,,,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass",
Goondiwindi Transport and Main Roads Customer Service Centre,"6 Brisbane St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests",,6 Brisbane Street,Goondiwindi,4390,PO Box 232,,Goondiwindi,4390,-28.544476,150.306116,(07) 4677 7200,(07) 4671 3173,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles in fine weather only; practical driver testing for all licence classes,
Gympie Transport and Main Roads Customer Service Centre,"44 Duke St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes",,44 Duke Street,Gympie,4570,PO Box 271,,Gympie,4570,-26.186069,152.656535,13 23 80,(07) 5480 2650,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass and motorcycles only; this centre does not conduct pre-registration inspections for trailers including imported trailers,
Gympie Motor Vehicle Inspection Centre,"13 Oak St Services: vehicle safety inspections, taxis, limousines, buses, safety inspections","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,13 Oak Street,Gympie,4570,PO Box 645,,Toowoomba,4350,-26.181129,152.648589,(07) 5482 5069,,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Approved Inspection Stations",
Hervey Bay Transport and Main Roads Customer Service Centre,"50-54 Main St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, motorcycles","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, motorcycles, motorbikes",50-54 Main Street,,Pialba,4655,PO Box 646,,Hervey Bay,4655,-25.285053,152.839279,13 23 80,(07) 4194 4750,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,"driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; practical driver testing for all licence classes; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass
",
Inglewood Queensland Government Agent Program Office,"25 Albert St Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver license, boat license, registration, industry licensing, pre-registration inspections, QGAP",25 Albert Street,,Inglewood,4387,PO Box 19,,Inglewood,4387,-28.414227,151.083519,(07) 4652 1310,(07) 4652 2964,,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Innisfail Transport and Main Roads Customer Service Centre,"12-14 Clifford Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests",12-14 Clifford Road,,Innisfail,4860,PO Box 758,,Innisfail,4860,-17.514424,146.009895,13 23 80,(07) 4061 0550,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,24/12/2012-26/12/2012; 28/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles types; practical driver testing for all licence classes,
Innisfail Motor Vehicle Inspection Centre,"12-14 Clifford Rd Services: vehicle safety inspections, taxis, limousines, buses, safety inspections","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",12-14 Clifford Road,,Innisfail,4860,PO Box 758,,Innisfail,4860,-17.514424,146.009895,1300 784 535,(07) 4061 0550,,,,,,,,,,,,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Authorised Inspections Stations",
Ipswich Transport and Main Roads Customer Service Centre,"2 Colvin St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",2 Colvin Street,,North Ipswich,4305,PO Box 631,,Ipswich,4305,-27.604488,152.758696,13 23 80,(07) 3202 1860,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Ipswich Passenger Transport Office,"2 Colvin St Services: driver authorisations, operator accreditations","driver authorisations, operator accreditations",2 Colvin Street,,North Ipswich,4305,PO Box 631,,Ipswich,4305,-27.604488,152.758696,(07) 3813 8686,(07) 3813 8621,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance with driver authorisations, operator accreditations and other services",
Ipswich School Transport Office,"2 Colvin St Services: School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme","School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme",2 Colvin Street,,North Ipswich,4305,PO Box 631,,Ipswich,4305,-27.604488,152.758696,(07) 3813 8613,(07) 3813 8605,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance on School Transport Assistance Scheme, the Code Of Conduct for School Children Travelling on Buses and the School Bus Upgrade Scheme",
Ipswich Motor Vehicle Inspection Centre,"2 Colvin St Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",2 Colvin Street,,North Ipswich,4305,PO Box 631,,Ipswich,4305,-27.604488,152.758696,13 23 80,(07) 3812 5206,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Authorised Inspections Stations; ",
Longreach Transport and Main Roads Customer Service Centre,"14 Wonga St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests  ","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",14 Wonga Street,,Longreach,4730,PO Box 372,,Longreach,4730,-23.44045245,144.2576459,(07) 4652 8200,(07) 4658 1748,,9:00,16:30,9:00,16:30,10:00,16:30,9:00,16:30,9:00,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections from 9am to 1pm and 2pm to 4pm for all vehicles; practical driver testing for all licence classes,
Longreach Motor Vehicle Inspection Centre,"14 Wonga St Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",14 Wonga Street,,Longreach,4730,PO Box 372,,Longreach,4730,-23.440503,144.257698,(07) 4652 8227,(07) 4652 8251,,,,,,,,,,,,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Authorised Inspections Stations",
Logan Transport and Main Roads Customer Service Centre,"43-45 Jacaranda Ave Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",43-45 Jacaranda Avenue,,Logan Central,4114,PO Box 272,,Logan Central,4114,-27.645728,153.105592,13 23 80,(07) 3290 8271,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Logan Motor Vehicle Inspection Centre,"43-45 Jacaranda Ave Services: vehicle safety inspections, taxis, limousines, buses, safety inspections","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",43-45 Jacaranda Avenue,,Logan Central,4114,PO Box 272,,Logan Central,4114,-27.645728,153.105592,13 23 80,(07) 3290 8209,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; Safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass; pre-booked vehicle safety inspections of passenger transport vehicles",
Mackay Transport and Main Roads Customer Service Centre,"Cnr Endeavour and Industrial St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",Corner Endeavour Street and Industrial Street,,Mackay,4740,PO Box 62,,Mackay,4740,-21.143711,149.194222,13 23 80,(07) 4951 8351,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Mackay Passenger Transport Office,"Cnr Endeavour and Industrial St Services: driver authorisations, operator accreditations","driver authorisations, operator accreditations",Corner Endeavour Street and Industrial Street,,Mackay,4740,PO Box 62,,Mackay,4740,-21.143711,149.194222,(07) 4951 8313,(07) 4951 8353,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance with driver authorisations, operator accreditations and other services",
Mackay School Transport Office,"Cnr Endeavour and Industrial St Services: School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme","School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme",Corner Endeavour Street and Industrial Street,,Mackay,4740,PO Box 62,,Mackay,4740,-21.143711,149.194222,(07) 4951 8313,(07) 4951 8353,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance on School Transport Assistance Scheme, the Code Of Conduct For School Children Travelling On Buses and the School Bus Upgrade Scheme.",
Mackay Motor Vehicle Inspection Centre,"Cnr Endeavour and Industrial St Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",Cnr Endeavour and Industrial Streets,,Mackay,4740,PO Box 62,,Mackay,4740,-21.143711,149.194222,(07) 4951 8323,(07) 4951 8350,,,,,,,,,,,,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Authorised Inspections Stations",
Mareeba Transport and Main Roads Customer Service Centre,"147 Walsh St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",147 Walsh Street,,Mareeba,4880,PO Box 1303,,Mareeba,4880,-16.993177,145.424027,13 23 80,(07) 4092 4004,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,24/12/2012-27/12/2012; 29/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles types; practical driver testing for all licence classes,
Maroochydore Transport and Main Roads Customer Service Centre,"5 Kelly Court (off Kayleigh Drive) Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",5 Kelly Court (off Kayleigh Drive),,Buderim,4556,PO Box 5125,,Maroochydore,4558,-26.669873,153.088223,13 23 80,(07) 5443 6080,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles types; practical driver testing for all licence classes,
Maroochydore Motor Vehicle Inspection Centre,"5 Kelly Court (off Kayleigh Drive) Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",5 Kelly Court (off Kayleigh Drive),,Buderim,4556,PO Box 5125,,Maroochydore,4558,-26.669873,153.088223,13 23 80,(07) 5451 9251,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Authorised Inspections Stations",
Maryborough Transport and Main Roads Customer Service Centre,"Bright St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",Bright Street,,Maryborough,4650,PO Box 371,,Maryborough,4650,-25.515653,152.671047,(07) 4121 8300,(07) 4121 8333,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Maryborough Motor Vehicle Inspection Centre,"Bright St Services: vehicle safety inspections, taxis, limousines, buses, safety inspections","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",Bright Street,,Maryborough,4650,PO Box 371,,Maryborough,4650,-25.515653,152.671047,(07) 4121 8319,(07) 4121 8377,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Authorised Inspections Stations",
Maryborough Passenger Transport Office,"Bright St Services: driver authorisations, operator accreditations","driver authorisations, operator accreditations",Bright Street,,Maryborough,4650,PO Box 371,,Maryborough,4650,-25.515653,152.671047,(07) 4121 8315,(07) 4121 8350,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance with driver authorisations, operator accreditations and other services",
Maryborough School Transport Office,"Bright St Services: School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme","School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme",Bright Street,,Maryborough,4650,PO Box 371,,Maryborough,4650,-25.515653,152.671047,(07) 4121 8315,(07) 4121 8350,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance on School Transport Assistance Scheme, the Code Of Conduct For School Children Travelling On Buses and the School Bus Upgrade Scheme.",
