Title,Street address,Suburb,Postcode,Latitude,Longtitude,Phone,Fax,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm
Agnes Water,71 Springs Road,Agnes Water,4677,-24.212252,151.910144,(07) 4902 1555,(07) 4902 1599,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,
Aramac,Gordon Street,Aramac,4726,-22.970524,145.242898,(07) 4651 3014,(07) 4651 3000,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,,,,
Augathella,98 Main Street,Augathella,4477,-25.795825,146.581712,(07) 4654 5007,(07) 4654 5009,9:30,15:30,9:30,15:30,9:30,15:30,9:30,15:30,9:30,15:30,,,,
Babinda (Police Station),10 Munro Street,Babinda,4861,-17.343982,145.924292,(07) 4067 1120,(07) 4067 1045,8:30,15:30,8:30,15:30,Closed,Closed,8:30,15:30,8:30,15:30,,,,
Barcaldine (Court House),65 Ash Street,Barcaldine,4725,-23.553474,145.290261,(07) 4651 1191,(07) 4651 2021,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,
Beaudesert,"Centre 9, William Street",Beaudesert,4285,-27.989608,152.998844,(07) 5542 9400,(07) 5542 9450,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,
Bedourie (Police Station),Merri Street,Bedourie,4829,-24.358787,139.469664,(07) 4746 1128,(07) 4746 1266,8:30-12:30,1:00-5:00,Closed,Closed,Closed,Closed,Closed,Closed,8:30-12:30,1:00-5:00,,,,
Biloela,60 Kariboe Street,Biloela,4715,-24.400826,150.513251,(07) 4992 8700,(07) 4992 1768,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:30-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,
Birdsville (Police Station),MacDonald Street,Birdsville,4482,-25.901947,139.349082,(07) 4656 3310,(07) 4656 3312,9:00,13:00,Closed,Closed,9:00,13:00,9:00,13:00,9:00,13:00,,,,
Blackall,Shamrock Street,Blackall,4472,-24.421675,145.45902,(07) 4657 4233,(07) 4657 4908,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,
Blackbutt,69 Hart Street,Blackbutt,4306,-26.884029,152.101976,(07) 4163 0030,(07) 4163 0436,9:00,15:30,9:00,15:30,9:00,15:30,9:00,15:30,9:00,15:30,,,,
Boonah,70 High Street,Boonah,4310,-27.996542,152.682354,(07) 5463 2165,(07) 5463 2167,8:30-12:00,14:00-16:30,8:30-12:00,14:00-:16:30,8:30-12:00,14:00-16:30,8:30-12:00,14:00-:16:30,8:30-12:00,14:00-16:30,,,,
Boulia (Police Station),Herbert Street,Bouila,4829,-22.909859,139.906762,(07) 4746 3043,(07) 4746 3338,8:00-12:00,Closed,8:00-12:00,Closed,8:00-12:00,Closed,8:00-12:00,Closed,8:00-12:00,Closed,,,,
Brisbane,33 Charlotte Street,Brisbane,4000,-27.471629,153.025728,13 QGOV (13 74 68),N/A,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,
Cairns,William McCormack Place Ground Floor 5B Sheridan Street,Cairns,4870,16.926148,145.775376,13 QGOV (13 74 68),N/A,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,
Camooweal,Barkly Street,Camooweal,4828,19.918162,138.119917,(07) 4748 2025,(07) 4748 2164,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,,,
Cannonvale,"Shops 5–7, 11 Island Drive",Cannonvale,4802,-20.278079,148.700917,(07) 4948 2981,(07) 4948 2899,9:00-12:00,13:00-16:30,9:00-12:00,13:00-16:30,9:30-12:00,13:00-16:30,9:00-12:00,13:00-16:30,9:00-12:00,13:00-16:30,,,,
Childers,67 Churchill Street,Childers,4660,-25.23571,152.277821,(07) 4126 1455,(07) 4126 1208,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Clermont,44 Daintree Street,Clermont,4721,-22.824185,147.639695,(07) 4983 1233,(07) 4983 3164,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Collinsville,64 Sonoma Street,Collinsville,4804,-20.548952,147.84234,(07) 4785 5567,(07) 4785 5789,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,,,,
Cooktown,172 Charlotte Street,Cooktown,4895,-15.461084,145.250666,(07) 4069 5333,(07) 4069 5864,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Crows Nest,16 Charlotte Street,Crows Nest,4355,-27.260552,152.056337,(07) 4698 2985,(07) 4698 2800,9:30-12:00,12:00-16:30,9:30-12:00,12:00-16:30,9:30-12:00,12:00-16:30,9:30-12:00,12:00-16:30,9:30-12:00,12:00-16:30,,,,
Croydon,Samwell Street,Croydon,4871,-18.203578,142.244151,(07) 4748 7101,(07) 4745 6147,9:00-12:00,12:00-15:30,Closed,Closed,Closed,Closed,Closed,Closed,9:00-12:00,12:00-15:30,,,,
Cunnamulla,5 Stockyard Street,Cunnamulla,4490,-28.069178,145.682094,(07) 4655 1331,(07) 4655 1422,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,,,,
Dirranbandi,35–37 Railway Street,Dirranbandi,4486,-28.585558,148.226806,(07) 4625 8411,(07) 4625 8433,10:00-12:30,13:30-16:00,10:00-12:30,13:30-16:00,10:00-12:30,13:30-16:00,10:00-12:30,13:30-16:00,10:00-12:30,13:30-16:00,,,,
Eidsvold,39 Moreton Street,Eidsvold,4627,-25.369612,151.123272,(07) 4165 1063,(07) 4165 7244,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,
Gayndah,20 Capper Street,Gayndah,4625,-25.625276,151.609063,(07) 4161 1655,(07) 4161 2221,9:00-12:00,12:00-16:30,9:00-12:00,12:16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:16:30,9:00-12:00,12:00-16:30,,,,
Georgetown,High Street,Georgetown,4871,-18.291532,143.547598,(07) 4062 1204,(07) 4062 1260,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,
Goombungee,89 Mocatta Street,Goombungee,4354,-27.3039,151.851899,(07) 4696 5985,(07) 4696 7940,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,,,,
Herberton,56 Grace Street,Herberton,4887,-17.383815,145.38684,(07) 4096 2702,(07) 4096 2704,Closed,Closed,Closed,Closed,Closed,Closed,9:00-13:00,14:00-16:00,Closed,Closed,,,,
Hughenden,65 Brodie Street,Hughenden,4821,-20.842198,144.200179,(07) 4741 1735,(07) 4741 1412,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,
Inglewood,25 Albert Street,Inglewood,4387,-28.414003,151.083564,(07) 4652 1310,(07) 4652 2964,9:30-13:30,14:00-15:00,9:30-13:30,14:00-15:00,9:30-13:30,14:00-15:00,9:30-13:30,14:00-15:00,9:30-13:30,14:00-16:00,,,,
Injune,Hutton Street,Injune,4454,-25.845031,148.564292,(07) 4626 1546,(07) 4626 1099,8:30-12:00,13:00-16:30,8:30-12:00,13:00-16:30,8:00-12:00,13:00-17:00,8:00-12:00,13:00-17:00,8:30-12:00,13:00-16:30,,,,
Isisford (Police Station),St Mary Street,Isisford,4731,-24.260219,144.438698,(07) 4658 8153,(07) 4658 8183,8:00-12:00,13:00-17:00,8:00-12:00,13:00-17:00,8:00-12:00,13:00-17:00,8:00-12:00,13:00-17:00,8:00-12:00,13:00-17:00,,,,
Jandowae,Corner George and High Streets,Jandowae,4410,-26.78116,151.110075,(07) 4668 5488,(07) 4668 5842,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,,,,
Julia Creek,Burke Street,Julia Creek,4823,-20.657051,141.744263,(07) 4746 7162,(07) 4746 7338,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,
Jundah (Police Station),Dickson Street,Jundah,4736,-24.831455,143.058856,(07) 4658 6193,(07) 4658 6180,9:00-12:00,12:00-13:00,9:00-12:00,12:00-13:00,9:00-12:00,12:00-13:00,9:00-12:00,12:00-13:00,Closed,Closed,,,,
Kalbar (Boonah branch site,78 George Street,Kalbar,4309,-27.943237,152.623051,(07) 5463 7777,(07) 5463 7888,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,,,,
Kilkivan,26 Bligh Street,Kilkivan,4600,-26.085338,152.241388,(07) 5484 1859,(07) 5484 1390,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,
Laidley,9 Spicer Street,Laidley,4341,-27.629922,152.395304,(07) 5466 8814,(07) 5466 8860,8:00-12:00,12:00-17:00,8:00-12:00,12:00-17:00,8:00-12:00,12:00-17:00,8:00-12:00,12:00-17:00,8:00-12:00,12:00-17:00,,,,
Lowood,Corner Michel and Main Streets,Lowood,4311,-27.463471,152.580387,(07) 5425 9103,(07) 5426 1816,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Malanda,21 James Street,Malanda,4885,-17.35284,145.595679,(07) 4096 5277,(07) 4096 5008,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,,,,
Maleny (Police Station),49 Maple Street,Maleny,4552,-26.758609,152.849285,(07) 5429 6293,(07) 5494 2655,9:00-12:00,12:00-14:00,9:00-12:00,12:00-14:00,9:00-12:00,12:00-14:00,9:00-12:00,12:00-14:00,9:00-12:00,12:00-14:00,,,,
Maroochydore,"Mike Ahern Centre, Ground floor, 12 First Avenue",Maroochydore,4558,-26.656606,153.093294,13 QGOV (13 74 68),N/A,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,
Mary Valley,45 Main Street,Kandanga,4570,-26.38692,152.676474,(07) 5484 3203,(07) 5484 3203,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,,,,
Middlemount,Middlemount Shopping Centre,Middlemount,4746,-22.809045,148.698902,(07) 4985 7255,(07) 4981 2888,8:30-12:00,12:45-16:00,8:30-12:00,12:45-16:00,8:30-12:00,12:45-16:00,8:30-12:00,12:45-16:00,8:30-12:00,12:45-16:00,,,,
Miles,32 Constance Street,Miles,4415,-26.657153,150.185786,(07) 4627 1177,(07) 4627 1341,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,,,,
Mirani,20 Victoria Street,Mirani,4754,-21.15876,148.863494,(07) 4959 1842,(07) 4959 1275,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,,,,
Mitchell,Corner Mary and Dublin Streets,Mitchell,4465,-26.488493,147.978231,(07) 4623 1106,(07) 4623 1510,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,
Monto,53 Newton Street,Monto,4630,-24.864663,151.124656,(07) 4166 1350,(07) 4166 1047,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Moranbah,21 Griffin Street,Moranbah,4744,-21.998992,148.045319,(07) 4941 7633,(07) 4941 5743,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Mossman,27 Front Street,Mossman,4783,-16.46042,145.373603,(07) 4098 1500,(07) 4098 2207,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Mount Garnet (Police Station),Garnet Street,Mount Carnet,4872,-17.682164,145.125756,(07) 4097 9005,(07) 4097 9036,9:30-12:00,12:00-15:30,Closed,Closed,9:30-12:00,12:00-15:30,Closed,Closed,Closed,Closed,,,,
Mount Morgan,32 Hall Street,Mount Morgan,4717,-23.648131,150.388647,(07) 4938 1359,(07) 4938 1083,Closed,Closed,9:00-12:00,12:00-16:00,9:00-12:00,12:00-13:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,,,,
Moura,Marshall and Shirley Streets,Moura,4718,-24.570153,149.973215,(07) 4997 2244,(07) 4997 1388,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,10:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Mundubbera,51 Lyons Street,Mundubbera,4626,-25.59093,151.299568,(07) 4165 5741,(07) 4165 4803,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-17:00,8:30-12:00,12:00-16:30,,,,
Murgon,48 Stephens Street West,Murgon,4605,-26.240038,151.940991,(07) 4168 1801,(07) 4168 1669,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Nanango,30 Henry Street,Nanango,4615,-26.670634,152.002425,(07) 4163 1165,(07) 4163 1083,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,
Normanton,Haig Street,Normanton,4890,-17.668241,141.079622,(07) 4745 1177,(07) 4745 1393,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,,,,
North Stradbroke Island,5 Ballow Street,Dunwich,4183,-27.499602,153.403471,(07) 3409 9906,(07) 3409 9431,Closed,Closed,8:30-13:00,14:00-16:00,Closed,Closed,8:30-13:00,14:00-16:00,Closed,Closed,,,,
Pittsworth,77 Yandilla Street,Pittsworth,4356,-27.715161,151.633825,(07) 4693 1168,(07) 4693 2348,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:15,,,,
Quilpie,Buln Buln Street,Quilpie,4570,-26.613066,144.26881,(07) 4656 1266,(07) 4656 1442,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,
Ravenshoe,27–29 Grigg Street,Ravenshoe,4888,-17.604665,145.481041,(07) 4097 6660,(07) 4097 6830,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,,,,
Richmond,Goldring Street,Richmond,4822,-20.726635,143.14002,(07) 4741 3227,(07) 4741 3721,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,
Sarina,Broad Street,Sarina,4737,-21.419526,149.216241,(07) 4956 1820,(07) 4943 1009,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,
Springsure,Eclipse Street,Springsure,4722,-24.113953,148.089221,(07) 4984 1433,(07) 4984 1368,9:00-12:00,12:00-16:30,Closed,Closed,9:00-12:00,12:00-16:30,Closed,Closed,9:00-12:00,12:00-16:30,,,,
St George,The Terrace,St George,4487,-28.036134,148.576845,(07) 4625 3266,(07) 4625 3180,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Stanthorpe,51 Marsh Street,Stanthorpe,4380,-28.652483,151.934103,(07) 4681 4965,(07) 4681 4971,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:30-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,,,,
Surat,62 Burrowes Street,Surat,4417,-27.151861,149.068292,(07) 4626 5523,(07) 4626 5256,9:30-12:30,13:30-16:30,9:30-12:30,13:30-16:30,9:30-12:30,13:30-16:30,9:30-12:30,13:30-16:30,9:30-12:30,13:30-16:30,,,,
Tara,19 Fry Street,Tara,4421,-27.278004,150.45962,(07) 4665 3130,(07) 4665 3460,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,,,,
Taroom,33 Yaldwyn Street,Taroom,4420,-25.640685,149.79531,(07) 4627 3106,(07) 4627 3357,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,
Texas,32 Cadell Street,Texas,4385,-28.853845,151.169534,(07) 4653 1251,(07) 4653 1265,9:30-13:00,14:00-17:00,Closed,Closed,9:30-13:00,14:00-17:00,9:30-13:00,14:00-17:00,9:30-13:00,14:00-17:00,,,,
Thargomindah (Police Station),Dowling Street,Thargomindah,4492,-27.996239,143.821846,(07) 4655 3291,(07) 4655 3224,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,,,,
Toogoolawah,"Hopkins Place, Gardner Street",Toogoolawah,4313,-27.0879,152.379463,(07) 5423 1522,(07) 5423 1473,9:00-13:15,14:30-16:00,9:00-13:15,14:30-16:00,9:00-13:15,14:30-16:00,9:00-13:15,14:30-16:00,9:00-13:15,14:30-16:00,,,,
Tully,46 Bryant Street,Tully,4854,-17.935826,145.922833,(07) 4068 1065,(07) 4068 3288,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Wandon,11 Lawton Street,Wandon,4419,-26.120909,149.961034,(07) 4627 5400,(07) 4627 5400,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Weipa,Central Avenue,Weipa,4874,-12.631199,141.878234,(07) 4069 9999,(07) 4069 9160,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
Windorah (Police Station),Victoria Street,Windorah,4481,-25.419769,142.653596,(07) 4656 3171,(07) 4656 3172,8:00-11:00,Closed,Closed,14:00-17:00,8:00-11:00,Closed,Closed,14:00-17:00,8:00-12:00,Closed,,,,
Winton (Court House),59 Vindex Street,Winton,4735,-22.388631,143.038782,(07) 4657 1536,(07) 4657 1583,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,,,,
Yarrabah,5 Noble Drive,Yarrabah,4871,-16.906625,145.865863,(07) 4056 9037,(07) 4056 0759,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,Closed,,,,
Yeppoon (Court House),Normanby Street,Yeppoon,4703,-23.127874,150.745671,(07) 4939 5385,(07) 4939 3023,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,
